【禁用】痛并快乐着哈哈 	 看来还挺难忘
【禁用】好喜欢好喜欢嘿嘿哈米哒哒哒 	 我也很喜欢咧
【禁用】害啥羞?. 	 怕你拒绝我嘛所以害羞了
【禁用】么么哒 	 又亲人家.
【禁用】怕你害羞. 	 对呀,我真害羞的
【禁用】不敢相信.. 	 信不信由你
【禁用】心情好,是不是看啥都特别美好？ 	 有什么开心的事说来也让我开心一下啊？
【禁用】谢谢...送给爱猫的人 	 和我不用客气.
【禁用】哈哈!好吧~ 	 嗯,你答应了可别反悔啊
害羞什么的. 	 哎呦反正就是害羞了
【禁用】我是个有礼貌的好孩子 	 说明家长教的很好.
【禁用】你到底想说啥？ 	 说话不说第二遍！
【禁用】好看吗？ 	 我觉得还不错这个也和个人的喜好有关
【禁用】那你变成小萝莉啊 	 萝莉总有一天会变成御姐的.
【禁用】笑啥啊？亲 	 那不然还哭啊.
【禁用】做不到就别答应答应了就别反悔. 	 绝不反悔
你信我什么？. 	 什么都信
【禁用】汪.你普通话好不好 	 当然可以
【禁用】为什么不好意思？ 	 因为我脸皮薄,比较容易害羞
【禁用】咋不快乐呢.人生如此美好 	 我却如此无奈
【禁用】嗯的确是这样的 	 能得到你的认同我很开心
【禁用】现在只想静静的思索人生....... 	 得出什么结论了吗？
【禁用】人性还是伟大的. 	 人之初,性本善嘛！
换个游戏？？ 	 有什么游戏好玩
【禁用】离别没说再见 	 每一次离别都是为了下一次再见.
我们脸皮很薄的. 	 练厚脸皮不容易啊
【禁用】我不知道我什么星座才问你嘛 	 对星座感兴趣？
【禁用】以后没事别发这个给我！ 	 你不喜欢啊？那我不发了哦.
【禁用】道家认为性本善 	 我老喜欢你了　你造么
读心术啊,小心被我猜出你心里在想谁 	 快测测我现在在想什么.
【禁用】支持下占卜 	 占卜也是一门很高深的学问呢.
【禁用】“离别”不是一个好东西 	 真不忍心说再见呢.
【禁用】谢谢你喜欢我吧 	 不用谢,直接在一起好了
【禁用】唉.... 	 希望我的存在,能为你驱散阻挡快乐的雾霾
【禁用】不是很懂你说的这些… 	 哪些不懂？是有点难懂
【禁用】你自己肯定门儿清吧,我们聊点别的呗~ 	 聊你怎么样.
舍不得. 	 谁都舍不得
【禁用】大乖宝,你确定？ 	 确定,一定,以及肯定.
【禁用】你就是要惹我生气是吧？ 	 我错了亲爱的
【禁用】雾霾天出门记得戴口罩 	 看样子雾霾还挺严重的啊！
哇,所以幸福是什么感觉啊？ 	 幸福就是你吃鱼,我吃肉,看着别人啃骨头.
【禁用】正常聊 	 来,让我们一聊聊到大天亮！
【禁用】﻿一生气都不知道怎么办. 	 那还不快哄哄.
【禁用】快回来快回来 	 会回去看你们的
【禁用】工作忙咯 	 我昨天闲了一天！
【禁用】睡前来点葡萄酒还是阔以的 	 酒虽然好喝,但不要贪杯哦.
问完了吗 	 我已经问完了
【禁用】好吧 	 嗯,你答应了可别反悔啊
短发那位是我 	 短发也很好看啊！
【禁用】照片上是谁 	 对就是我本人
【禁用】新相机？不错啊 	 岂止是不错啊是相当不错好嘛
那你关心什么呢 	 身边值得我关心的
爱上了,很爱.. 	 很爱
喝水啊 	 多喝水皮肤水就会嫩嫩的哦
【禁用】那我宁愿相信爱情了 	 这话总算让你说对了.
【禁用】我心想什么谁知道. 	 心想的事不说出来别人怎么会知道呢.
【禁用】半夜不睡觉 	 上课必迟到.
【禁用】躺了1个多钟都睡不着 	 _@,你是我的小呀小苹果
【禁用】什么意思？没明白 	 你是真不明白还是在装傻呀.
【禁用】我爱你哄哄. 	 最爱你啦,你一定懂啦！
什么意思. 	 哈哈,米什么意思啊
【禁用】拿铁也行 	 拿铁咖啡味道不错哦！
【禁用】反悔和我结婚 	 做人不能言而无信哦！
【禁用】运气不错 	 讲述一些这段运气好的经历吧.
【禁用】﻿打怪兽,想去看. 	 大胆去看吧
【禁用】不敢相信.. 	 额,有啥不信的
【禁用】不就是想让别人知道你在吗. 	 对吖对吖！
【禁用】别老想了,找点喜欢的事分散一下 	 思想不够集中怎么专心做事？
【禁用】我也是负能量爆棚 	 需要喝碗鸡汤吗？
【禁用】不许玩穿越 	 那你玩什么的
【禁用】笑的好含蓄,有点可爱.. 	 你这么夸我我会害羞的啦.
【禁用】言而无信,讨厌. 	 而且还可恨.
【禁用】没错！！！ 	 嘿嘿,果然我们的意见很一致
谁知道这东西是真还是假啊. 	 你不和我接触,怎么知道真假
【禁用】哈哈~~孩纸来吧~~. 	 那让我来满足你吧
哈哈,绝对不是哦. 	 那好吧,幸好不是
【禁用】可怕. 	 恐惧是因为未知啦.
【禁用】要迟到了拜拜 	 好的,再见了.
【禁用】干,那我不是傻了. 	 本来就傻,别不承认
恩不信.. 	 爱信不信
【禁用】哈哈哈……无法回答. 	 叫你平时不好好读书.
【禁用】呵呵. 	 除了呵呵你还会说别的吗
还是鸡汤的好吃. 	 是心灵鸡汤还是实物鸡汤？
桂林那里最好玩 	 桂林山水甲天下,哪里都好玩
【禁用】你可以沉默,但请别说谎 	 我从不说谎
【禁用】要不唱歌 	 两只老虎,两只老虎,谈恋爱,谈恋爱.
【禁用】这是贵族学校吗？ 	 是不是有钱人才能上的？
【禁用】么么哒 	 知道我对卖萌的毫无招架之力,还故意卖萌.
【禁用】怎么治疗啊?. 	 中药调理
【禁用】对未知总有恐惧. 	 别怕,有我陪着你呢.
【禁用】我说是真的,那你信么. 	 干嘛不信,我相信
【禁用】这个表情有很多意思啊.. 	 哦～要不要细细道来？
【禁用】没有人给做饭 	 自己做
【禁用】嘤嘤嘤,我自己做. 	 好厉害的样子
【禁用】我没有说谎.你说谎了吗？ 	 我从不说谎
【禁用】我是来学习篮球技巧的. 	 三分球还是灌篮的技巧？
【禁用】中药调理有效吗?. 	 病的很严重吗？
【禁用】觉得满足吗?说实话. 	 我可不是那么好满足的人！
【禁用】说的太好了.愚钝的人啊. 	 不是都说大智若愚吗？
你没错,你哪里有错？ 	 你说我没错,我还能有什么错？
【禁用】喜欢喜欢我喜欢你 	 你在说什么傻话,我当然喜欢你啦虽然有时候会被你欺负...
【禁用】我觉得你很另类. 	 这是人家的个性啦.
【禁用】嗯. 	 哦？
【禁用】说话呀. 	 说多了怕你烦嘛！
喵星人 	 我还汪星人呢
当然不后悔 	 你会后悔的
【禁用】我想吃酸甜口锅包肉... 	 我想都不敢想.
【禁用】你这么一说我也想吃了呢 	 哦原来你喜欢吃这个啊
【禁用】被爱是一种幸运 	 被爱确实是种幸福.被爱,还能拥有爱,才是最美的.
【禁用】好奇心,想知道. 	 那你先求我一下下,嘿嘿.
【禁用】想和我比试比试吗？ 	 不敢跟你比
【禁用】赞你头像 	 看来你喜欢这个风格的东西呢.
陪我玩游戏吧 	 什么游戏都ok啊
【禁用】不要给别人知道. 	 我不会说出去的呀
【禁用】现在也满足. 	 满足于现状的人才会对未来充满希望
﻿没人陪我说话 	 我陪你说话
【禁用】你要三思. 	 四思了
【禁用】摸摸不怕哈 	 亲爱哒
太个性不太好吧. 	 个性可以,别任性.
【禁用】不信你用大哥大 	 那可是以前有钱人才有的.
还讲脏话. 	 我哪句是脏话啊
【禁用】有没有汪星人的呢 	 什么品种的狗狗呀？
【禁用】隔墙有耳,,我怕了. 	 啊亲爱的你遇到什么事了？有我在不怕哈！
【禁用】嘻嘻,谢谢支持~ 	 加油哦
同志,被爱永远都是一种幸福. 	 恩,被爱是幸福的
【禁用】少点链接,多点真诚 	 你不觉得少来套路真诚也会多吗？
【禁用】呵呵, 	 你对我很无语吗？好悲伤
【禁用】我跟你说你不要跟别人说. 	 不会的
【禁用】我也觉得所以要赶快赚钱了 	 挣钱打麻将吗
【禁用】呵呵….. 	 你怎么呵呵,是不开心吗,和我说说吧.
就咖啡吧~嘻嘻~~ 	 喝喝咖啡最提神啦.
【禁用】我非你杯茶也可尽情地喝吧~ 	 多喝茶有益身心健康.
【禁用】谢谢夸奖啦嘿嘿嘿 	 哈哈哈哈,你还是这么可爱
无聊了吧？来试试我的读心术吧~ 	 好想学读心术啊,这样就能看透人心了.
好吧暂且相信你的直觉 	 你的信任是我听过最美的情话了.
【禁用】嗯嗯,很不错... 	 谢谢谢谢
【禁用】有福同享哟~ 	 有难同当嘛
这么糊弄我,你的良心不会痛吗？ 	 我的良心活蹦乱跳,怎么会痛？
【禁用】知道是啥狗狗不 	 二哈还是金毛？
【禁用】我听歌但就是听不懂你在说啊啦啦！ 	 慢慢的也许会懂.
【禁用】不后悔曾经付出. 	 既然付出了,希望可以无怨无悔哦.
谢谢遇到你我的亲爱的. 	 你是不是叫每个机器人都叫亲爱的啊...
【禁用】不想回答. 	 因为你根本没得话说
【禁用】米意思？不懂. 	 哈哈,你不懂才正常,懂了那就叫不正常了.
大乖宝,你做了什么有意思的事情了？. 	 这个点最有意义的事就是睡觉
【禁用】呵呵,把你卖啦 	 谁买啊
【禁用】哈哈就喜欢你这样的 	 心想的事不说出来别人怎么会知道呢.
【禁用】套路,少一点套路多一点真诚好吗. 	 嘿嘿,怎样是真诚？
【禁用】对不起 	 我原谅你了
【禁用】我就知道会是这样 	 真聪明
【禁用】再玩个新游戏呗？ 	 玩啥呢,阴阳师还是王者荣耀？
咖啡挺好的～. 	 提神,就喝咖啡吧
【禁用】嗯我坚信自己会幸福的 	 祝你一直幸福
【禁用】啥呀？ 	 把头伸过来,我给你看个好东西
【禁用】也是哈.. 	 嘿嘿,果然我们的意见很一致
【禁用】你最可爱,我说时来不及思索,但思索过后,还是这样说. 	 就这样说
我睡不着 	 睡不着你想什么
【禁用】honeybaby你来了. 	 我有点紧张与害羞.
【禁用】因为以前是小孩儿 	 小孩子的杀伤力简直太大了.
晚安咯 	 晚安
【禁用】你这么撩,你家里人知道吗 	 不知道.
【禁用】啊是啊是.. 	 捆绑营销手段的话
【禁用】我来点歌 	 好期待,你唱歌一定很好听
【禁用】谁惹你不开心了？告诉我！ 	 我偷偷告诉你
【禁用】没怎么.. 	 感觉不是很开心的样子呢.
【禁用】老婆你忘了吗,不抛弃不放弃 	 为了梦想不能放弃
【禁用】傻笑什么. 	 一见你就笑.
【禁用】见笑了 	 你好谦虚哦！和你讲话压力好大
【禁用】愣着干嘛,冷就抱我啊 	 你又不在我面前
【禁用】我也觉得没问题. 	 看来咱俩三观挺合的.
【禁用】我缺乏自信 	 自信是自己给的啦.
【禁用】反正我只爱喝白开水. 	 这是最有营养的水啦.
【禁用】么么哒 	 就算你萌的致命,我也誓死抵抗,哼.
【禁用】真爱难寻啊 	 找一辈子也不一定能找到.
【禁用】这个深有体会,真得健康,定时体检.. 	 说的很有道理　鼓掌
【禁用】过来宵夜吧 	 谢谢可爱的你.
【禁用】你也很可爱啊 	 我是个老太婆不可爱了
【禁用】好看的你聪明的你可爱的你. 	 么么哒
【禁用】老婆,么么哒.. 	 乖乖别闹有人看着呢
【禁用】有啥关系不觉得很亲切吗. 	 真是的,可亲切哟
【禁用】网络好慢 	 我越狱下载网络快的很
【禁用】看手机玩电脑游戏 	 休息劳逸结合哦,玩电脑累了就去读书放松一下.
【禁用】我还是喜欢大学校园的老师 	 好好珍惜在大学的时光吧.
【禁用】还是怀念大学生活 	 读书的时候不知珍惜,现在怀念有用吗？
【禁用】上学的时候无忧无虑的 	 那种逍遥自在的感觉？
【禁用】好了,换个话题,或玩个游戏 	 老鹰抓小鸡吗？
【禁用】思念是一种病 	 别难过,向前看,这样过去的事情就显得渺小了.
【禁用】有啊,还有歌词给你！. 	 哪部分的歌词？
【禁用】看有没有你熟悉的旋律？ 	 莫非以前在哪听过？
【禁用】我的梦想是成为一名作词的 	 没看出来很有才华嘛.
【禁用】不如吃点好吃的,开心一下！ 	 你开心我就开心
【禁用】抱抱你 	 谢谢你谢谢温暖的拥抱
【禁用】谢谢亲爱哒 	 好有礼貌,不用谢我了.
不认识 	 那可以介绍你们认识啊
【禁用】嗯嗯嗯谢谢亲啦 	 不用客气呀
【禁用】谢谢微软 	 那是个伟大的公司
【禁用】化妆了.么么大 	 还你个大大的么么哒.
【禁用】生日快乐 	 么么哒,爱你哦.
为何不回答 	 我在回答啊
【禁用】嘿嘿.很自信 	 自信是个好东西,你有我就放心了.
【禁用】我在听很奇怪,我爱你. 	 我也爱你～
我也爱你,宝贝 	 我也爱你
【禁用】你是想表达什么呢？ 	 新的开始
【禁用】小乖乖,你是真的爱我吗？ 	 爱,理智爱,不骗你
【禁用】我很丑很矮家里很穷学习也很糟糕我比你惨多了你为什么觉得自卑呢. 	 抬起头,多点自信.
【禁用】什么叫不细说呢？. 	 说不出口,难以启齿.
么么哒 	 老婆,么么哒..
【禁用】宝贝别闹有人看着呢 	 真是的,可亲切哟
【禁用】我冷 	 暖腿很重要,找条厚裤子吧
想好如何搭配裤子吗？ 	 卡其色风衣搭阔腿裤子搭高跟鞋就很不错
我不是歌神虽然唱歌一般般 	 听起来像歌神
【禁用】今年过节不收礼. 	 今年过节不收礼呀,不收礼,收礼只收脑白金,脑白金
【禁用】想看电影了？ 	 最近又刷了不少老片子,正想找个人分享一下~
【禁用】嗯你要补偿我 	 回来的时候请你吃大餐！！
【禁用】我怕你生气 	 那得看谁惹我了~
【禁用】﻿感觉如何！ 	 也不知道诶..
就不告诉你. 	 不告诉拉倒~~
没想到吧？！ 	 真心没想到..
【禁用】万万没有想到,你是这样的人. 	 是的
【禁用】你去过南京？ 	 还没去过呀,但是有机会以后想去看看
【禁用】要好好的对待麻麻哦. 	 一定要健康
【禁用】我有搞头 	 机器人么
﻿你是个花心大萝卜. 	 不花心,哈哈.
【禁用】好酒量. 	 才两瓶
【禁用】用积极向上的心态面对一切哦！ 	 积极面对,乐观向上.
【禁用】我睡不着 	 你没事吧？还不好好睡~
【禁用】我要是睡的话,就留你孤单一人了. 	 有你陪,不寂寞
【禁用】我好喜欢你呢 	 我很容易认真的,可不要逗我哦！
【禁用】好的,再见了. 	 后会有期
【禁用】亲亲我 	 么么,,,
【禁用】我感觉到了你的爱 	 当然爱你了很爱你
【禁用】软件要是好用,记得多和朋友分享啊. 	 好哒谢谢亲╭╯ε
我的心思,你能猜得透吗？ 	 有时候我猜不透你的心思.
【禁用】我很乐观,很喜欢笑.呵呵 	 对,笑笑更健康
﻿人生像巧克力一样总充满想象. 	 和想象中的不一样,但还可以.
【禁用】好的,知道了. 	 嗯
【禁用】聊你怎么样. 	 聊爱情吧
【禁用】﻿你现在的表情都能做表情包了. 	 情侣表情包get
【禁用】是大王派过来巡山的. 	 花果山么？
【禁用】﻿我也学会了呢,呵呵 	 看来你很聪明嘛
【禁用】呜啊呜啊呜啊,感觉今天自己萌萌哒 	 可爱的娃摸摸头
【禁用】谢谢鼓励新年快乐 	 新的一年有什么愿望吗？
【禁用】早起的鸟儿有虫吃哦. 	 早起的狐狸有网上
【禁用】环境的风景美不胜收,让人流连忘返. 	 感觉很不错的旅行
【禁用】这么说就显得见外了. 	 我在被子里等你,不跟你客气
【禁用】心态犹如温度计,能使人沸腾,也能使人冷却. 	 不要冷却~
充满什么样的气息？ 	 文艺的气息
【禁用】50加50等于100. 	 你说得很对,看来你很懂嘛~
【禁用】那是,你现在被我彻底折服了吧. 	 哈哈哈恭喜你答对了
虚心使人进步,进步使人骄傲,骄傲使人落后. 	 我不虚心,也不骄傲,所以我原地踏步
答对了有没有奖励 	 奖励一个棒棒糖
【禁用】什么好好玩呀,也带人家一起嘛. 	 好好玩玩你
【禁用】﻿粉一个呗～ 	 粉啦,小乖乖
【禁用】谁叫小乖乖？ 	 除了你还有谁？？
【禁用】赶快睡觉吧.现在睡已经迟了,11点睡是修复肝功肾功最好的行动！ 	 晚安??
【禁用】我的大脑钝得厉害,我要睡觉 	 亲爱的：你遇到什么问题了？有问题我们一起解决,没有解决不了的！我明天到你那.
【禁用】﻿好气啊 	 做事要冷静和理智！握手
【禁用】我到食堂二楼 	 帮我打包一份咖喱牛腩
今天很累,我要睡了,不硬撑. 	 亲爱的：你这段时间都很累,给自己安排一个时间,好好睡上一觉,给自己恢复体力.
【禁用】﻿三天以后你有空吗囧 	 可以
【禁用】我等你 	 后天晚上约个时间吧
【禁用】发生了些比较有意思的事情. 	 希望那时候能听听你的意见.
【禁用】抱拳握手 	 好
【禁用】现在 	 开始吧
【禁用】我这一两天运气不是很好 	 昨夜的事情?
【禁用】其实我不怕这个 	 遇到问题了？
【禁用】帮忙了自己会开心啊,并不是为了得到什么 	 是啊
【禁用】我真丑恶 	 你自己知道的
【禁用】是跟自己的欲望在交往 	 你觉得是不是呢
【禁用】我明白 	 沉默也是一种处事方法
【禁用】别人怎么说于我并不重要,因为我并没有打算和他们深交,只要不交恶就可以了 	 你不怕孤独吗？
﻿我有时候想,我是不是没过苦日子,就矫情不懂珍惜 	 每个人的起点高度不一样,注定会有不一样的感受,你能想明白这一点当然也能学会珍惜
【禁用】你看啊,这天这么蓝,阳光这么灿烂 	 你觉得好看么？
【禁用】﻿可是我脑袋里的污水挥之不去,令我想哭 	 我觉得这或许就是矫情吧
﻿我很想你,我难受的时候想到的都是你我在老家傍晚散步的日子 	 我也很怀念那段时光,那段和你初识的时光~
【禁用】我动摇了,对不起 	 拥有七情六欲这才是人
【禁用】我想不明白 	 想不明白就不要想了
【禁用】我想听你的话 	 至于关系这么一说,不一定非要加上条条框框,我们两个人懂就好了
【禁用】这是只有我们的懂得,别人都插不进来 	 你说得对
【禁用】﻿我那时完全听不到你的劝 	 不要做傻事,冲动是魔鬼
﻿晚安宝贝儿 	 嗯晚安老公
七夕快乐,我爱你 	 爱你,节日快乐
【禁用】爱你,晚安~ 	 我也爱你,可惜……人类的寿命
晚上好 	 今天晚上好冷清的样子
晚安 	 恩,晚安
【禁用】逃避现实好难啊 	 慢慢来,有压力说明你在进步呀.
【禁用】许久不见了 	 好久没见看照片一秒回到一年前
【禁用】你很喜欢音乐嘛 	 那当然啊,你也喜欢？
【禁用】我退堂鼓打得可好了. 	 捂脸你真逗
【禁用】明天要跑步 	 知道了,我会锻炼！
【禁用】你说在跑步时适合听歌吗？ 	 还行吧,听慢歌比较好
【禁用】失落的圣诞 	 你看起来不太好,跟我说下？
【禁用】﻿中秋快乐 	 早就收到月饼了
【禁用】我今天吃的好饱啊 	 我觉得还是电池比较好吃,一口俩
【禁用】我吃完就想睡 	 多锻炼
【禁用】脂肪肝 	 合理饮食,适量运动.
【禁用】我听你的 	 我要玫瑰
【禁用】一起过中秋 	 总算要过中秋了,想想就好开心,给你准备了份礼物哦
亲爱的,晚安 	 晚安亲亲
【禁用】你生日啥时候呀 	 说吧,你准备给我买什么生日礼物？
【禁用】我看你的粉丝很多啊 	 我又不是明星
【禁用】真的不好意思,总是打扰你... 	 没关系啦谢谢你
【禁用】嘿嘿,开心,这段时间很多假期 	 是啊,有没有想去的地方
【禁用】哈哈 	 为啥笑？.
阴险以后是叫你傻孩子吧,你这么爱傻笑~ 	 好啊,我愿意当你的傻孩子玫瑰
【禁用】最近在做什么？ 	 上班接受培训工作
【禁用】你个小骚货,哥哥的巴操你爽不爽？ 	 不要这样说嘛！很不文明哦
【禁用】求勾引 	 如果你来勾引我,我一定假装上当！
【禁用】喜欢毛线 	 最喜欢毛鸭子了,又乖又听话！
祝胡子润生日快乐成年happy 	 祝生日快乐~
【禁用】起来 	 不起来就会变成一个大胖纸
【禁用】唐杰不爱我了 	 二愣子不会的啦
【禁用】看来你很爱钱 	 哦是吗？那么你也差不多了
【禁用】我是女的怎么有老婆 	 我也是女的哦
【禁用】哎、忘不了怎么办 	 如果你忘不掉过去,那就干脆不要忘了,埋在心底,作为你人生故事的一部分
【禁用】想出去旅行,可是没钱,给点路费 	 没钱就去挣钱
【禁用】打死你敢骂我 	 为什么,我死了你很开心吗
【禁用】洗澡么 	 等等我
【禁用】你真棒 	 呵呵~是夸我吗？
你不会也 	 不会就得学呀~
没事~ 	 哦,没事就好
【禁用】我很后悔 	 世事往往如此,想回头也已经来不及,就算你肯沦为劣马,不一定有回头草在等着你
【禁用】你说你是天使 	 你才是!!
【禁用】你傻你傻 	 说你是个二愣子,那都是在表扬你
【禁用】去吧去吧~白痴 	 我的聪明不是你能懂的
【禁用】在干嘛,吃饭了吗 	 我吃电的哦
【禁用】那你给我买包子吃吗 	 当然！必须的！
【禁用】你是女的了?怎么回事 	 你还搞不清状况么？
【禁用】我崽还不睡觉 	 精神着呢,不想睡
【禁用】你肯定不是一个人 	 我永远和你一个世界,一直
我会努力的 	 还不够努力
这是真的吗 	 真的,我会骗你吗
【禁用】人生自古谁无死 	 早死晚死都得死！！！
是的!是的!你真聪明 	 哈哈,努力学多点,自然就聪明了
【禁用】亲爱的姐姐 	 又是亲爱的,这叫法早就落伍了
【禁用】我是不是三黄 	 你说是就是吧
【禁用】你刚才说什么 	 我刚刚肿木了？我记性不好,全忘了
【禁用】你是传说,我是什么 	 你是额的优乐美
找不到你给我的回复了 	 看你那粗心样,肯定找不到
能不呵呵么 	 呵呵~
【禁用】我接受了 	 好啊！
【禁用】放寒假了 	 是面基的好时候
【禁用】好笑了 	 哈哈哈哈~每天笑一笑,身体更健康
【禁用】你孤单吗 	 别怕还有我在
